,曲目,曲师,难度,定数,分数,ptt,评级,离线
83,Solitary Dream,ak+q feat. Sennzai,FTR,8.8,9928850,10.44,EX+,
84,qualia -ideaesthesia-,nitro,FTR,9.1,9868819,10.44,EX,
85,Heart Jackin',Yu_Asahina,FTR,9.7,9722100,10.44,AA,
86,Quon,Feryquitous,FTR,9.7,9718281,10.43,AA,
87,Harutopia ~Utopia of Spring~,A-zu-ra,FTR,8.5,9982146,10.41,EX+,
88,world.execute(me);,Mili,FTR,8.5,9977289,10.39,EX+,
89,Glow,SPACELECTRO,FTR,9.3,9815182,10.38,EX,
90,PRAGMATISM,Laur,PRS,8.6,9953971,10.37,EX+,
91,Fairytale,chitose,BYD,9.5,9759371,10.36,AA,
92,Chelsea,7mai,FTR,8.5,9969812,10.35,EX+,
93,Axium Crisis,ak+q,PRS,8.5,9968109,10.34,EX+,
94,Flashback,ARForest,FTR,8.8,9907273,10.34,EX+,
95,False Embellishment,影虎。 & ikaruga_nex,FTR,9.3,9804729,10.32,EX,
96,Small Cloud Sugar Candy,テヅカ x Aoi feat.桃雛なの,FTR,9.1,9843014,10.32,EX,
97,Lumia,sky_delta,FTR,8.4,9980070,10.3,EX+,
98,Bookmaker (2D Version),Kobaryo,FTR,8.3,10001072,10.3,PM,
99,Dot to Dot feat. shully,Mameyudoufu,FTR,8.3,10000705,10.3,PM,
100,Senkyou,MYTK,FTR,8.7,9917870,10.29,EX+,
101,Overwhelm,xi,PRS,8.5,9957609,10.29,EX+,
102,FREEF4LL,YUKIYANAGI,FTR,8.6,9937376,10.29,EX+,
103,Cyaegha,USAO,PRS,8.4,9970450,10.25,EX+,
104,Purgatorium,お月さま交響曲,FTR,8.4,9970354,10.25,EX+,
105,CROSS†SOUL,HyuN feat. Syepias,FTR,9.4,9751158,10.24,AA,
106,Paper Witch,Yu-dachi,FTR,8.7,9906114,10.23,EX+,
107,Ringed Genesis,Edelritter,PRS,8.4,9965890,10.23,EX+,
108,Oblivia,Saiph,FTR,8.3,9985185,10.23,EX+,
109,Misdeed -la bonté de Dieu et l'origine du mal-,光吉猛修 VS 穴山大輔,PRS,8.5,9944894,10.22,EX+,
110,Shades of Light in a Transcendent Realm,ak+q,FTR,8.3,9982274,10.21,EX+,
111,Dantalion,Team Grimoire,PRS,8.2,10000811,10.2,PM,
